genes,Macrophagen00h,Macrophagen02h,Macrophagen06h,Macrophagen12h,Macrophagen24h,Macrophagen48h,Macrophagen72h,Monocyten00h,Monocyten02h,Monocyten06h,Monocyten12h,Monocyten24h,Monocyten48h,Monocyten72h,Neutrophiln00h,Neutrophiln02h,Neutrophiln06h,Neutrophiln12h,Neutrophiln24h,Neutrophiln48h,Neutrophiln72h,NKn00h,NKn02h,NKn06h,NKn12h,NKn24h,NKn48h,NKn72h,pDCn00h,pDCn02h,pDCn06h,pDCn12h,pDCn24h,pDCn48h,pDCn72h,Bn00h,Bn02h,Bn06h,Bn12h,Bn24h,Bn48h,Bn72h,Tn00h,Tn02h,Tn06h,Tn12h,Tn24h,Tn48h,Tn72h
Eif1,-0.0988633710372778,0.00844565952913564,1.93145450978822,-0.266816555562619,-1.32921796898624,-1.52375618343053,-0.497061797327073,1.2935751003087,1.36069950697135,2.67574474064177,1.48210148599233,-0.264210188297509,0.106944178722335,0.0154146797456241,-0.559216239796073,-0.707512691557052,0.709451713695305,-0.00466067596499522,-1.24207787487505,-1.22960069191348,-1.10843601690677,-0.275148506337695,-0.852738522443666,1.64934147403709,0.900189988656041,-1.52375618343053,-0.598711284865159,-0.788960979294473,0.306238203930919,0.956418856196107,1.59246065977815,-0.376847450648752,-0.667894470604331,-0.233780977903654,-0.95171740610207,0.0983822751313405,0.349716757592271,1.35660780905979,-0.111330922641218,-1.08287938397208,-0.00413815690684949,-0.215610571598634,-0.0815997888064537,0.539379628371194,1.29638794019092,0.63417974136423,-1.52375618343053,-0.601525389595464,-0.5413084754666
Ccnl1,-0.498006753078027,-0.256673856339415,1.41842915725013,-0.0870107934535763,-1.03652631831449,-0.848162610216624,-1.03652631831449,0.23190266784362,0.722674335263912,3.62672469090238,2.23753717323318,-0.368204365497904,-0.451916662403219,-0.540381246297535,-0.657500744379792,-0.614046961518195,0.568366008615603,0.0564519589946892,-0.926873294066298,-0.873786242433766,-0.915417761552948,-0.521997423921849,-0.0789206343456419,0.631083302584746,1.15236589036182,-0.53446184417047,-0.603395732906273,-0.835828965422074,-0.211881834965505,0.266124286581976,2.23425155188266,1.35025585798003,-0.392765645515783,-0.456250498914607,-0.364427440631798,-0.242828028379568,0.0569071659596217,1.83357847234777,-0.148511647875334,-0.722173348394561,-0.601027244205125,-0.785858071471982,-0.16044498465629,0.0313170595918922,1.62786699688191,-0.308068385004725,-0.544400963665862,-0.587412017767585,-0.834147936194648
2810474O19Rik,-0.352958999098217,-0.209715144475571,2.34290227656771,-0.261752456026359,-1.19359884921228,-0.394897131607108,-0.201805849727207,1.00811422509041,0.820583966249024,3.26671388403884,1.36278309317929,-0.194948614830545,-0.0126920798009007,-0.359013188937393,-0.449996751180869,-0.5650773958599,0.860188372771037,0.22127825876279,-0.82858565126041,-0.853550848102728,-0.904385383961031,-0.610776782088536,-0.285215310013273,1.7094039169617,0.612246561040928,-1.19359884921228,-0.969044472816974,-1.19359884921228,-0.773752428948827,-0.0808675489209249,1.44216126379036,0.634314530639154,-0.71499511049234,-0.306961003651037,-0.971120893221353,-0.318956353899493,-0.31430299413288,1.12829638739922,0.0741489464349032,-0.678391765491976,-0.874589498995924,-0.324574264253927,0.341878945951929,0.423317063355622,2.38756268088359,0.00453329171192875,-0.666740748343946,-0.633545213284064,-0.946417233767867
Pim1,-0.748542056158986,-0.844906133682582,1.24665954497107,0.489223466245903,-0.774768494491373,-0.403819535020046,-0.896943825705709,-0.256729818981808,-0.353689511144989,2.52490851568187,2.43044716285626,-0.12489444360648,0.487680875841001,-0.479626183801005,-0.774044114105228,-0.837923991906484,1.58718326163556,0.713360603741842,-0.682798852357948,-0.608713718784864,-0.811854420620981,-0.741846980926763,-0.454512205938269,1.38784479497775,2.55247854008951,-0.318650478608376,-0.755679130623912,-0.822425389308831,-0.674209023383952,-0.638398684462378,1.38897828295138,1.65914856456994,-0.542654053716049,-0.565203702752694,-0.388589808514925,-0.753607935111058,-0.664911484382896,0.867675554634589,1.18028005624293,-0.233143611007901,-0.332615241212689,-0.282337102898568,-0.514316118076403,-0.713227699563155,0.982176769618068,0.829949024294456,-0.896943825705709,-0.538523616083411,-0.896943825705709
Nfkbia,-0.394370814170485,-0.398121809574918,3.19178745878455,1.76060447727435,-0.704917121427113,-0.611571083358993,-0.572980705339465,-0.45744769358895,-0.380990268356354,2.38371361196556,2.25060004247117,-0.540615744012421,-0.504254302642346,-0.490254210917292,-0.601140741268049,-0.57685049136293,1.3170068031494,1.2477319764404,-0.610581476243411,-0.62442800169055,-0.638215623648785,-0.555929611470563,-0.609199329719991,0.608633352472734,1.58808028904253,-0.704917121427113,-0.704917121427113,-0.603965484877785,-0.590069124312635,-0.539446250963584,0.824340795434361,1.62523934032565,-0.669007071330478,-0.608082781817202,-0.672144698799277,-0.504185472264121,-0.375505533908778,0.286101472388823,1.0238468189255,-0.595880559626603,-0.567457479683559,-0.489176872321064,-0.554173358450897,-0.534791388764999,0.628167661038154,1.1526526220228,-0.493083130113934,-0.704917121427113,-0.704917121427113
Id2,-0.621195911362319,-0.48813665536835,3.36030859831564,1.53206026441597,-0.772173302837905,-0.772173302837905,-0.772173302837905,-0.592245852107014,-0.349426624052914,2.49899009033127,1.5416455109809,-0.541575895120898,-0.575403913130839,-0.676945025674959,-0.671109312160618,-0.602815739617236,1.50768746606685,1.27717414408441,-0.647485051479,-0.66299879039329,-0.683424494662632,-0.0814305961798503,-0.224390330048281,1.71929638874277,2.61469344356944,-0.584467336838512,-0.21827939813745,-0.227406974859878,-0.567476113516191,-0.619921683281348,0.178287361549029,0.404644223197819,-0.277125622903267,-0.413412768521244,-0.248155733178564,-0.759904617259341,-0.734841205959354,-0.072263855490816,0.497133942344933,-0.573717691953276,-0.621226003322658,-0.399803559829516,-0.363678058245934,-0.266365856488186,0.43321372573693,0.761719195129822,-0.727462446471437,-0.28396474202575,-0.63227658631114
Junb,-0.271557524558714,0.105113979560899,2.92776962252632,1.21581553226849,-0.763581117118083,-0.363544020576735,-0.641764929226858,0.00387571653661958,0.0749377267588965,2.71586313537434,2.69417568355481,-0.267417140975531,-0.465601344992048,-0.614258926892455,-0.60233565297021,-0.664981652492729,0.65738271159958,0.0883581940096635,-0.669481908264329,-0.70485908541962,-0.718111706550959,-0.763581117118083,-0.763581117118083,0.702907698805998,0.875907236614386,0.0385777471881239,-0.625458206683397,-0.763581117118083,-0.471228878772657,-0.505273635883576,0.583331649017813,1.15638524118968,-0.65291064952475,-0.763581117118083,-0.643528742090437,-0.468158393581073,-0.652200435741616,0.54888176274255,0.161182058679881,-0.678344283692723,-0.698338894695886,-0.725763776653654,-0.283016509536241,-0.42752054090467,2.11239003282942,1.83758504298602,-0.499905339650432,-0.603391889203686,-0.763581117118083
Mcl1,-0.190292693243147,-0.153966859222574,2.17558299959993,1.6778832454289,-0.563814489054625,-0.78368816306901,-0.911535815123582,0.170343963052659,0.728339039418595,2.06923830110183,3.26485442550252,0.839735044372291,0.844676024835071,-0.262841416475473,-0.809759053701058,-0.862536706986208,1.31802804914444,0.674577468928068,-0.797528834704482,-0.820165028535763,-0.934696058892035,-0.900475491750147,-0.635672435963943,0.962514985003562,0.364090248559297,-0.436213759754967,-0.689778554672526,-0.901206796492265,-0.584726399814053,-0.552499347891655,0.552571493098806,1.05106451169189,-0.723454457489129,-0.248861641839687,-0.75033033180677,-0.420266152066335,-0.109989833727648,1.64388267610713,0.920446988909592,-0.516565936581248,-0.575053627395518,-0.815984624151599,-0.890109780325919,-0.386963947924376,0.127369691815179,0.61805162547108,-0.899318930113783,-0.936331130338567,-0.938622482932748
Il4ra,-0.539608788932379,-0.666691100634381,2.35938090541685,0.157152124299951,-0.189271567554111,-0.791271538859563,0.0574442112876565,-0.523400213303619,-0.204364847971054,4.49731828518489,1.71564899362753,-0.103094873980058,0.331090102732932,-0.0237654694223035,-0.615262798827318,-0.632506047680798,2.15892901299936,-0.076315864151748,-0.524080997900282,-0.57782074083732,-0.47825604429964,-0.791271538859563,-0.791271538859563,0.523885055890322,0.370655437242148,0.303454997964306,-0.791271538859563,-0.470314128474409,-0.223911573431813,-0.655407781442249,1.30764794213787,0.541252009500195,-0.308144537255221,-0.791271538859563,-0.312837837717464,-0.343683796938757,-0.130123888698369,0.72639297486516,-0.455083257794145,-0.791271538859563,-0.254321829353906,-0.480095337049027,-0.466038054769361,-0.196024438979602,1.21508095930048,0.158511270772368,-0.791271538859563,-0.64324615494619,-0.791271538859563
Sbno2,-0.591989814626666,-0.702961873434712,1.94764422312107,0.78141480671229,-0.910091991253215,-0.394623973582542,-0.744796938163676,0.33311953595042,0.223303881061442,4.16924804378171,1.68119521322728,0.630709622685245,1.08546291184699,-0.015662850850001,-0.614464482062297,-0.68489832189314,1.17331830194611,0.0191609596786313,-0.634808641841201,-0.686670129187005,-0.707159584510663,-0.418313043312994,-0.54782944084347,1.15881892670816,0.307349505089731,-0.128153887325144,-0.763460680590941,-0.910091991253215,-0.553167442591702,-0.527592433698508,1.01908480778552,1.04260622173097,0.0422477429699754,0.365442900144074,-0.592180237475054,-0.788280188295847,-0.765470072052885,0.804328726540654,0.276868935217248,-0.652829885168751,-0.551742962122775,-0.415363575109098,-0.757270621299937,-0.910091991253215,1.67177412564907,-0.452927897113721,-0.910091991253215,-0.910091991253215,-0.490020458427785
